PC Name,No,CATEGORY,State,WINNER,PARTY,Electors,Votes,Turnout,Margin,Margin %
Hisar,4,GEN,Haryana,Bhajan Lal S/o Kheraj,Haryana Janhit Congress (BL),1194689,828704,69.40%,6983,0.80%
Hooghly,28,GEN,West Bengal,Dr. Ratna De (Nag),All India Trinamool Congress,1405684,1163978,82.80%,81523,7.00%
Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Indian National Congress,1297404,712284,54.90%,19245,2.70%
Hoshiarpur,5,SC,Punjab,Santosh Chowdhary,Indian National Congress,1299234,843123,64.90%,366,0.00%
Howrah,25,GEN,West Bengal,Ambica Banerjee,All India Trinamool Congress,1344746,994315,73.90%,37392,3.80%
Hyderabad,9,GEN,Andhra Pradesh,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1393242,730544,52.40%,113865,15.60%
Idukki,13,GEN,Kerala,Adv. P.T Thomas,Indian National Congress,1062849,787236,74.10%,74796,9.50%
Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (Tai),Bharatiya Janta Party,1570094,797171,50.80%,11480,1.40%
Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,826755,583323,70.60%,30960,5.30%
Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,1446345,633495,43.80%,106003,16.70%
Jadavpur,22,GEN,West Bengal,Kabir Suman,All India Trinamool Congress,1331537,1085301,81.50%,56267,5.20%
Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Communist Party Of India,1455406,982922,67.50%,76735,7.80%
Jahanabad,36,GEN,Bihar [2000 Onwards],Jagdish Sharma,Janata Dal (United),1276912,599175,46.90%,21327,3.60%
Jaipur,7,GEN,Rajasthan,Mahesh Joshi,Indian National Congress,1684541,812957,48.30%,16099,2.00%
Jaipur Rural,6,GEN,Rajasthan,Lal Chand Kataria,Indian National Congress,1444949,687165,47.60%,52237,7.60%
Jajpur,8,SC,Orissa,Mohan Jena,Biju Janata Dal,1227088,817649,66.60%,127747,15.60%
Jalandhar,4,SC,Punjab,Mohinder Singh Kaypee,Indian National Congress,1339842,899607,67.10%,36445,4.10%
Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Ghansyam Anuragi,Samajwadi Party,1684988,797588,47.30%,11409,1.40%
Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,1549391,656612,42.40%,96020,14.60%
Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,1426255,797213,55.90%,8482,1.10%
Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,1520957,577810,38.00%,49805,8.60%
Jalpaiguri,3,SC,West Bengal,Mahendra Kumar Roy,Communist Party Of India (MARXIST),1252142,1032242,82.40%,88371,8.60%
Jammu,6,GEN,Jammu & Kashmir,Madan Lal Sharma,Indian National Congress,1719897,842899,49.00%,121373,14.40%
Jamnagar,12,GEN,Gujarat,Ahir Vikrambhai Arjanbhai Madam,Indian National Congress,1298599,594603,45.80%,26418,4.40%
Jamshedpur,9,GEN,Jharkhand,Arjun Munda,Bharatiya Janta Party,1380279,705570,51.10%,119663,17.00%
Jamui,40,SC,Bihar [2000 Onwards],Bhudeo Choudhary,Janata Dal (United),1404016,535288,38.10%,29797,5.60%
Jangipur,9,GEN,West Bengal,Pranab Mukherjee,Indian National Congress,1087054,934813,86.00%,128149,13.70%
Janjgir-Champa,3,SC,Chhattisgarh,Shrimati Kamla Devi Patle,Bharatiya Janta Party,1518450,737608,48.60%,87211,11.80%
Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Dhananjay Singh,Bahujan Samaj Party,1662127,763987,46.00%,80351,10.50%
Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1447157,872015,60.30%,52841,6.10%
Jhanjharpur,7,GEN,Bihar [2000 Onwards],Mangani Lal Mandal,Janata Dal (United),1418977,607835,42.80%,72709,12.00%
Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Pradeep Kumar Jain (Aditya),Indian National Congress,1562082,861858,55.20%,47670,5.50%
Jhargram,33,ST,West Bengal,Pulin Bihari Baske,Communist Party Of India (MARXIST),1241574,958825,77.20%,292345,30.50%
Jhunjhunu,4,GEN,Rajasthan,Sheesh Ram Ola,Indian National Congress,1432581,603278,42.10%,65332,10.80%
Jodhpur,16,GEN,Rajasthan,Chandresh Kumari,Indian National Congress,1506821,684623,45.40%,98329,14.40%
Jorhat,12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,1182349,765059,64.70%,71914,9.40%
Joynagar,19,SC,West Bengal,Dr. Tarun Mondal,Independent,1143640,915801,80.10%,53705,5.90%
Junagadh,13,GEN,Gujarat,Solanki Dinubhai Boghabhai,Bharatiya Janta Party,1313064,760085,57.90%,13759,1.80%
Kachchh,1,SC,Gujarat,Jat Poonamben Veljibhai,Bharatiya Janta Party,1325614,564099,42.60%,71343,12.60%
Kadapa,38,GEN,Andhra Pradesh,Y.S. Jagan Mohan Reddy,Indian National Congress,1347716,1031800,76.60%,178846,17.30%
Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Tabassum Begum,Bahujan Samaj Party,1282551,725359,56.60%,22463,3.10%
Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Brijbhushan Sharan Singh,Samajwadi Party,1376267,565673,41.10%,72199,12.80%
Kakinada,23,GEN,Andhra Pradesh,M.M.Pallamraju,Indian National Congress,1265094,967545,76.50%,34044,3.50%
Kalahandi,11,GEN,Orissa,Bhakta Charan Das,Indian National Congress,1421959,980310,68.90%,154037,15.70%
Kaliabor,11,GEN,Assam,Dip Gogoi,Indian National Congress,1348371,961183,71.30%,151989,15.80%
Kallakurichi,14,GEN,Tamil Nadu,Sankar Adhi,Dravida Munetra Kazhagam,1106352,857618,77.50%,357571,41.70%
Kalyan,24,GEN,Maharashtra,Anand Prakash Paranjape,Shiv Sena,1588507,544851,34.30%,24202,4.40%
Kancheepuram,6,SC,Tamil Nadu,Viswanathan.P,Indian National Congress,1060188,787177,74.30%,13103,1.70%
Kandhamal,13,GEN,Orissa,Rudramadhab Ray,Biju Janata Dal,1065279,708100,66.50%,151007,21.30%
Kangra,1,GEN,Himachal Pradesh,Dr. Rajan Sushant,Bharatiya Janta Party,1200165,662248,55.20%,20779,3.10%
Kanker,11,ST,Chhattisgarh,Sohan Potai,Bharatiya Janta Party,1296734,742076,57.20%,19288,2.60%
Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1504276,741965,49.30%,115864,15.60%
Kanniyakumari,39,GEN,Tamil Nadu,Helen Davidson J,Dravida Munetra Kazhagam,1178047,766034,65.00%,65687,8.60%
Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1069725,867040,81.10%,43151,5.00%
Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Sri Prakash Jaiswal,Indian National Congress,1390055,512917,36.90%,18906,3.70%
Kanthi,31,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,1249775,1124817,90.00%,129103,11.50%
Karakat,35,GEN,Bihar [2000 Onwards],Mahabali Singh,Janata Dal (United),1386634,577454,41.60%,20483,3.50%
Karauli-Dholpur,10,SC,Rajasthan,Khiladi Lal Bairwa,Indian National Congress,1303196,487218,37.40%,29723,6.10%
Karimganj,1,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,1068811,685740,64.20%,7920,1.20%
Karimnagar,3,GEN,Andhra Pradesh,Ponnam Prabhakar,Indian National Congress,1496211,991417,66.30%,50243,5.10%
Karnal,5,GEN,Haryana,Arvind Kumar Sharma,Indian National Congress,1216977,811067,66.70%,76346,9.40%
Karur,23,GEN,Tamil Nadu,Thambidurai.M,All India Anna Dravida Munnetra Kazhagam,1012924,825860,81.50%,47254,5.70%
Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1113892,848205,76.20%,64427,7.60%
Katihar,11,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,1272769,724942,57.00%,14015,1.90%
Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,1391312,551342,39.60%,55789,10.10%
Kendrapara,15,GEN,Orissa,Baijayant Panda,Biju Janata Dal,1434425,982950,68.50%,127107,12.90%
Keonjhar,4,ST,Orissa,Yashbant Narayan Singh Laguri,Biju Janata Dal,1265225,892274,70.50%,126484,14.20%
Khadoor Sahib,3,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,1340145,946690,70.60%,32260,3.40%
Khagaria,25,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),1342970,624966,46.50%,138755,22.20%
Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Jeetendra Singh Bundela,Bharatiya Janta Party,1349511,583085,43.20%,28332,4.90%
Khammam,17,GEN,Andhra Pradesh,Nama Nageswara Rao,Telugu Desam,1259815,1038421,82.40%,124448,12.00%
Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Arun Subhashchandra Yadav,Indian National Congress,1355325,813214,60.00%,49081,6.00%
Khargone,27,ST,Madhya Pradesh [2000 Onwards],Makansingh Solanki (Babuji),Bharatiya Janta Party,1263778,760779,60.20%,34175,4.50%
Kheda,17,GEN,Gujarat,Dinsha Patel,Indian National Congress,1448571,602867,41.60%,846,0.10%
Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Zafar Ali Naqvi,Indian National Congress,1297088,707983,54.60%,8777,1.20%
Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,980868,510352,52.00%,80175,15.70%
Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,1186369,626914,52.80%,80269,12.80%
Kodarma,5,GEN,Jharkhand,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),1390428,780555,56.10%,48520,6.20%
Kokrajhar,5,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Bodaland Peoples Front,1377837,1015053,73.70%,190322,18.70%
Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1340923,928350,69.20%,23006,2.50%
Kolhapur,47,GEN,Maharashtra,Sadashivrao Dadoba Mandlik,Independent,1583030,1029203,65.00%,44800,4.40%
Kolkata Dakshin,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,1505638,1008329,67.00%,219571,21.80%
Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,1366647,878866,64.30%,109278,12.40%
Kollam,18,GEN,Kerala,N.Peethambarakurup,Indian National Congress,1108686,754928,68.10%,17531,2.30%
Koppal,8,GEN,Karnataka,Shivaramagouda Shivanagouda,Bharatiya Janta Party,1363431,754803,55.40%,81789,10.80%
Koraput,21,ST,Orissa,Jayaram Pangi,Biju Janata Dal,1217768,759610,62.40%,96360,12.70%
Korba,4,GEN,Chhattisgarh,Charan Das Mahant,Indian National Congress,1276443,745617,58.40%,20737,2.80%
Kota,24,GEN,Rajasthan,Ijyaraj Singh,Indian National Congress,1498971,682181,45.50%,83093,12.20%
Kottayam,14,GEN,Kerala,Jose K.Mani (Karingozheckal),Kerala Congress(M),1095242,809844,73.90%,71570,8.80%
Kozhikode,5,GEN,Kerala,M.K. Raghavan,Indian National Congress,1053817,799996,75.90%,838,0.10%
Krishnagiri,9,GEN,Tamil Nadu,Sugavanam. E.G.,Dravida Munetra Kazhagam,1014758,752583,74.20%,76598,10.20%
Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,1223082,1047125,85.60%,77386,7.40%
Kurnool,35,GEN,Andhra Pradesh,Kotla Jaya Surya Prakash Reddy,Indian National Congress,1307312,873551,66.80%,73773,8.40%
Kurukshetra,2,GEN,Haryana,Naveen Jindal,Indian National Congress,1166684,875415,75.00%,118729,13.60%
Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Ku. Ratanjeet Pratap Narayan Singh,Indian National Congress,1438263,731041,50.80%,21094,2.90%
Ladakh,4,GEN,Jammu & Kashmir,Hassan Khan,Independent,152491,111013,72.80%,3684,3.30%
Lakhimpur,14,GEN,Assam,Ranee Narah,Indian National Congress,1332518,909812,68.30%,44572,4.90%
Lakshadweep,1,ST,Lakshadweep,Hamdullah Sayeed,Indian National Congress,45983,39498,85.90%,2198,5.60%
Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Dr. Baliram,Bahujan Samaj Party,1509536,659042,43.70%,39948,6.10%
Latur,41,SC,Maharashtra,Awale Jaywant Gangaram,Indian National Congress,1509987,829585,54.90%,7975,1.00%
Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,981666,522402,53.20%,8283,1.60%
Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Lal Ji Tandon,Bharatiya Janta Party,1653123,587772,35.60%,40901,7.00%
Ludhiana,7,GEN,Punjab,Manish Tewari,Indian National Congress,1309308,846277,64.60%,113706,13.40%
Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Tufani Saroj,Samajwadi Party,1751074,717824,41.00%,24306,3.40%
Machilipatnam,28,GEN,Andhra Pradesh,Konakalla Narayana Rao,Telugu Desam,1251053,1052352,84.10%,12456,1.20%
Madha,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,1558442,919449,59.00%,314459,34.20%
Madhepura,13,GEN,Bihar [2000 Onwards],Sharad Yadav,Janata Dal (United),1508361,756468,50.20%,177621,23.50%
Madhubani,6,GEN,Bihar [2000 Onwards],Hukmadeo Narayan Yadav,Bharatiya Janta Party,1397256,556572,39.80%,9927,1.80%
Madurai,32,GEN,Tamil Nadu,Alagiri M.K,Dravida Munetra Kazhagam,1022421,792011,77.50%,140985,17.80%
Mahabubabad,16,ST,Andhra Pradesh,P. Balram,Indian National Congress,1265396,996860,78.80%,68957,6.90%
Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Harsh Vardhan,Indian National Congress,1509167,599531,39.70%,123628,20.60%
Maharajganj,19,GEN,Bihar [2000 Onwards],Uma Shanaker Singh,Rashtriya Janata Dal,1312219,599531,45.70%,2797,0.50%
Mahasamund,9,GEN,Chhattisgarh,Chandulal Sahu (Chandu Bhaiya),Bharatiya Janta Party,1369154,776337,56.70%,51475,6.60%
Mahbubnagar,11,GEN,Andhra Pradesh,K. Chandrasekhar Rao,Telangana Rashtra Samithi,1368868,927588,67.80%,20184,2.20%
Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1393970,692685,49.70%,21865,3.20%
Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1399259,696701,49.80%,173069,24.80%
Malappuram,6,GEN,Kerala,E. Ahamed,Muslim League Kerala State Committee,1019713,784713,77.00%,115597,14.70%
Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Choudhury,Indian National Congress,1052093,831309,79.00%,136280,16.40%
Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,1101096,922537,83.80%,60141,6.50%
Malkajgiri,7,GEN,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,2343050,1205858,51.50%,93326,7.70%
Mandi,2,GEN,Himachal Pradesh,Virbhadra Singh,Indian National Congress,1112524,713687,64.20%,13997,2.00%
Mandla,14,ST,Madhya Pradesh [2000 Onwards],Basori Singh Masram,Indian National Congress,1528061,860093,56.30%,65053,7.60%
Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Meenakshi Natrajan,Indian National Congress,1371067,765754,55.90%,30819,4.00%
Mandya,20,GEN,Karnataka,N Cheluvaraya Swamy @ Swamygowda,Janata Dal (Secular),1499744,1031797,68.80%,23500,2.30%
Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1416682,988448,69.80%,55849,5.70%
Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Jayant Chaudhary,Rashtriya Lok Dal,1341649,726769,54.20%,169613,23.30%
Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1227376,1049016,85.50%,129963,12.40%
Maval,33,GEN,Maharashtra,Babar Gajanan Dharmshi,Shiv Sena,1604886,718520,44.80%,80619,11.20%
Mavelikkara,16,SC,Kerala,Kodikkunnil Suresh,Indian National Congress,1142993,806273,70.50%,48048,6.00%
Mayiladuthurai,28,GEN,Tamil Nadu,Maniyan O.S.,All India Anna Dravida Munnetra Kazhagam,1091519,800627,73.40%,36854,4.60%
Mayurbhanj,5,ST,Orissa,Laxman Tudu,Biju Janata Dal,1173650,825506,70.30%,66178,8.00%
Medak,6,GEN,Andhra Pradesh,Vijaya Shanthi .M,Telangana Rashtra Samithi,1389721,1062584,76.50%,6077,0.60%
Medinipur,34,GEN,West Bengal,Prabodh Panda,Communist Party Of India,1262983,1043731,82.60%,48017,4.60%
Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,1508788,727732,48.20%,47146,6.50%
Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Bal Kumar Patel,Samajwadi Party,1405539,732859,52.10%,19682,2.70%
Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bahujan Samaj Party,1464770,607911,41.50%,23292,3.80%
Mizoram,1,ST,Mizoram,C.L.Ruala,Indian National Congress,629374,332553,52.80%,108955,32.80%
Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],Sushila Saroj,Samajwadi Party,1500237,694220,46.30%,76595,11.00%
Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Mohammed Azharuddin,Indian National Congress,1388525,761683,54.90%,49107,6.40%
Morena,1,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,1339897,710660,53.00%,100997,14.20%
Mumbai North,26,GEN,Maharashtra,Sanjay Brijkishorlal Nirupam,Indian National Congress,1608924,685035,42.60%,5779,0.80%
Mumbai North Central,29,GEN,Maharashtra,Dutt Priya Sunil,Indian National Congress,1681985,664652,39.50%,174555,26.30%
Mumbai North East,28,GEN,Maharashtra,Sanjay Dina Patil,Nationalist Congress Party,1572890,667955,42.50%,2933,0.40%
Mumbai North West,27,GEN,Maharashtra,Ad.Kamat Gurudas Vasant,Indian National Congress,1604992,707303,44.10%,38387,5.40%
Mumbai South,31,GEN,Maharashtra,Deora Milind Murli,Indian National Congress,1589811,641597,40.40%,112682,17.60%
Mumbai South Central,30,GEN,Maharashtra,Eknath M. Gaikwad,Indian National Congress,1515899,598877,39.50%,75706,12.60%
Munger,28,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),1564604,651035,41.60%,189361,29.10%
Murshidabad,11,GEN,West Bengal,Abdul Mannan Hossain,Indian National Congress,1192899,1052242,88.20%,35647,3.40%
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Kadir Rana,Bahujan Samaj Party,1370117,744973,54.40%,20598,2.80%
Muzaffarpur,15,GEN,Bihar [2000 Onwards],Captain Jai Narayan Prasad Nishad,Janata Dal (United),1339949,621870,46.40%,47809,7.70%
Mysore,21,GEN,Karnataka,Adagur H Vishwanath,Indian National Congress,1653991,974410,58.90%,7691,0.80%
Nabarangpur,12,ST,Orissa,Pradeep Kumar Majhi,Indian National Congress,1215653,792063,65.20%,29977,3.80%
Nagaland,1,ST,Nagaland,C.M. Chang,Nagaland Peoples Front,1321878,1189670,90.00%,483021,40.60%
Nagapattinam,29,SC,Tamil Nadu,Vijayan A K S,Dravida Munetra Kazhagam,982352,764572,77.80%,47962,6.30%
Nagarkurnool,12,SC,Andhra Pradesh,Dr. Manda Jagannath,Indian National Congress,1460484,1027695,70.40%,47767,4.60%
Nagaur,14,GEN,Rajasthan,Dr. Jyoti Mirdha,Indian National Congress,1486307,610003,41.00%,155137,25.40%
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Yashvir Singh,Samajwadi Party,1196566,643784,53.80%,59688,9.30%
Nagpur,10,GEN,Maharashtra,Muttemwar Vilasrao Baburaoji,Indian National Congress,1738920,755714,43.50%,24399,3.20%
Nainital-Udhamsingh Nagar,4,GEN,Uttarakhand,K.C. Singh Baba,Indian National Congress,1284092,753947,58.70%,88412,11.70%
Nalanda,29,GEN,Bihar [2000 Onwards],Kaushalendra Kumar,Janata Dal (United),1719503,568233,33.10%,152677,26.90%
Nalgonda,13,GEN,Andhra Pradesh,Gutha Sukender Reddy,Indian National Congress,1455016,1083684,74.50%,152982,14.10%
Namakkal,16,GEN,Tamil Nadu,Gandhiselvan.S,Dravida Munetra Kazhagam,1075526,846216,78.70%,102431,12.10%
Nanded,16,GEN,Maharashtra,Khatgaonkar Patil Bhaskarrao Bapurao,Indian National Congress,1439015,774850,53.90%,74614,9.60%
Nandurbar,1,ST,Maharashtra,Gavit Manikrao Hodlya,Indian National Congress,1455543,766408,52.70%,79949,10.40%
Nandyal,34,GEN,Andhra Pradesh,S.P.Y.Reddy,Indian National Congress,1358711,996163,73.30%,90847,9.10%
Narasaraopet,31,GEN,Andhra Pradesh,Modugula Venugopala Reddy,Telugu Desam,1360431,1086317,79.90%,1607,0.10%
Narsapuram,26,GEN,Andhra Pradesh,Bapiraju Kanumuru,Indian National Congress,1173138,995129,84.80%,114690,11.50%
Nashik,21,GEN,Maharashtra,Sameer Bhujbal,Nationalist Congress Party,1448414,656930,45.40%,22032,3.40%
Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1623415,757579,46.70%,132643,17.50%
Nawada,39,GEN,Bihar [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1397512,581583,41.60%,34917,6.00%
Nellore,39,GEN,Andhra Pradesh,Mekapati Rajamohan Reddy,Indian National Congress,1450938,1006949,69.40%,54993,5.50%
New Delhi,4,GEN,Delhi [1977 Onwards],Ajay Makan,Indian National Congress,1373146,765180,55.70%,187809,24.50%
Nilgiris,19,SC,Tamil Nadu,Raja A,Dravida Munetra Kazhagam,1003168,709771,70.80%,86021,12.10%
Nizamabad,4,GEN,Andhra Pradesh,Madhu Yaskhi Goud,Indian National Congress,1333271,889962,66.80%,60390,6.80%
North East Delhi,2,GEN,Delhi [1977 Onwards],Jai Prakash Agarwal,Indian National Congress,1677058,877919,52.40%,222243,25.30%
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,486983,292408,60.00%,6353,2.20%
North West Delhi,5,SC,Delhi [1977 Onwards],Krishna Tirath,Indian National Congress,1798181,857564,47.70%,184433,21.50%
Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1411331,998937,70.80%,45380,4.50%
Ongole,33,GEN,Andhra Pradesh,Magunta Srinivasulu Reddy,Indian National Congress,1375558,1026948,74.70%,78523,7.60%
Osmanabad,40,GEN,Maharashtra,Patil Padamsinha Bajirao,Nationalist Congress Party,1608852,924810,57.50%,6787,0.70%
Outer Manipur,2,ST,Manipur,Thangso Baite,Indian National Congress,909496,753388,82.80%,119798,15.90%
Palakkad,8,GEN,Kerala,M.B. Rajesh,Communist Party Of India (MARXIST),1074818,790872,73.60%,1820,0.20%
Palamau,13,SC,Jharkhand,Kameshwar Baitha,Jharkhand Mukti Morcha,1417375,651271,46.00%,23538,3.60%
Palghar,22,ST,Maharashtra,Jadhav Baliram Sukur,Bahujan Vikas Aaghadi,1523061,732599,48.10%,12360,1.70%
Pali,15,GEN,Rajasthan,Badri Ram Jakhar,Indian National Congress,1682713,724620,43.10%,196717,27.10%
Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1423385,606673,42.60%,2081,0.30%
Parbhani,17,GEN,Maharashtra,Adv. Dudhgaonkar Ganeshrao Nagorao,Shiv Sena,1610088,870761,54.10%,65418,7.50%
Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,1220868,515490,42.20%,47343,9.20%
Pataliputra,31,GEN,Bihar [2000 Onwards],Ranjan Prasad Yadav,Janata Dal (United),1526241,628364,41.20%,23541,3.70%
Patan,3,GEN,Gujarat,Jagdish Thakor,Indian National Congress,1417623,633160,44.70%,18504,2.90%
Pathanamthitta,17,GEN,Kerala,Anto Antony Punnathaniyil,Indian National Congress,1213370,798232,65.80%,111206,13.90%
Patiala,13,GEN,Punjab,Preneet Kaur,Indian National Congress,1344864,935959,69.60%,97389,10.40%
Patna Sahib,30,GEN,Bihar [2000 Onwards],Shatrughan Sinha,Bharatiya Janta Party,1641976,552538,33.70%,166770,30.20%
Peddapalli,2,SC,Andhra Pradesh,Dr.G.Vivekanand,Indian National Congress,1315642,904183,68.70%,49017,5.40%
Perambalur,25,GEN,Tamil Nadu,Napoleond.,Dravida Munetra Kazhagam,1049033,834811,79.60%,77604,9.30%
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Kapil Muni Karwariya,Bahujan Samaj Party,1426451,551913,38.70%,14578,2.60%
Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Varun Gandhi,Bharatiya Janta Party,1310007,837650,63.90%,281501,33.60%
Pollachi,21,GEN,Tamil Nadu,Sugumar.K,All India Anna Dravida Munnetra Kazhagam,1017811,773303,76.00%,46025,6.00%
Pondicherry,1,GEN,Pondicherry,Narayanasamy,Indian National Congress,762440,608533,79.80%,91772,15.10%
Ponnani,7,GEN,Kerala,E.T. Muhammed Basheer,Muslim League Kerala State Committee,997075,770205,77.30%,82684,10.70%
Porbandar,11,GEN,Gujarat,Radadiya Vitthalbhai Hansrajbhai,Indian National Congress,1385818,660768,47.70%,39503,6.00%
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Rajkumari Ratna Singh,Indian National Congress,1435159,641017,44.70%,29779,4.60%
Pune,34,GEN,Maharashtra,Kalmadi Suresh,Indian National Congress,1806953,734482,40.70%,25701,3.50%
Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1322817,910198,68.80%,211305,23.20%
Purnia,12,GEN,Bihar [2000 Onwards],Uday Singh Alias Pappu Singh,Bharatiya Janta Party,1305396,704866,54.00%,186227,26.40%
Purulia,35,GEN,West Bengal,Narahari Mahato,All India Forward Bloc,1257799,905208,72.00%,19301,2.10%
Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1187264,482094,40.60%,79290,16.40%
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,1379507,666699,48.30%,372165,55.80%
Raichur,6,ST,Karnataka,Pakkirappa.S.,Bharatiya Janta Party,1486326,682388,45.90%,30636,4.50%
Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,1359830,769264,56.60%,146521,19.00%
Raiganj,5,GEN,West Bengal,Deepa Dasmunsi,Indian National Congress,1108382,900271,81.20%,105203,11.70%
Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,1432746,935750,65.30%,55848,6.00%
Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1578868,741969,47.00%,57901,7.80%
Rajahmundry,25,GEN,Andhra Pradesh,Aruna Kumar Vundavalli,Indian National Congress,1260974,1021131,81.00%,2147,0.20%
Rajampet,41,GEN,Andhra Pradesh,Annayyagari Sai Prathap,Indian National Congress,1311449,997835,76.10%,110377,11.10%
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Narayansingh Amlabe,Indian National Congress,1261062,651383,51.70%,24388,3.70%
